cik,tic,Year,GICS_Sector
1041061,YUM,2021,25.0
75677,PKG,2021,15.0
1792044,VTRS,2021,35.0
27904,DAL,2021,20.0
70866,NCR,2021,45.0
813762,IEP,2021,20.0
1418091,TWTR,2021,50.0
33213,EQT,2021,10.0
1286681,DPZ,2021,25.0
1723128,AMRX,2021,35.0
1490281,GRPN,2021,25.0
1670541,ADNT,2021,25.0
84839,ROL,2021,20.0
716643,RGS,2021,25.0
795403,WTS,2021,20.0
1441236,CLW,2021,15.0
1710366,CEIX,2021,10.0
850429,TG,2021,15.0
21665,CL,2021,30.0
1283630,ACC,2021,60.0
1005731,IDT,2021,50.0
81362,KWR,2021,15.0
883948,AUB,2021,40.0
91928,SJI,2021,55.0
67347,MOD,2021,25.0
1280058,BLKB,2021,45.0
100726,UFI,2021,25.0
949870,SAM,2021,30.0
1056285,KIRK,2021,25.0
1326380,GME,2021,25.0
1121142,MAXR,2021,20.0
928054,FTK,2021,15.0
1046257,INGR,2021,30.0
1688568,DXC,2021,45.0
78814,PBI,2021,20.0
97210,TER,2021,45.0
1336920,LDOS,2021,20.0
719413,HL,2021,15.0
935494,NATI,2021,45.0
812128,SAFM,2021,30.0
63276,MAT,2021,25.0
313143,HAE,2021,35.0
8858,AVT,2021,45.0
1108426,PNM,2021,55.0
1091667,CHTR,2021,50.0
73756,OII,2021,10.0
1579684,GCI,2021,50.0
46250,HWKN,2021,15.0
852772,DENN,2021,25.0
1466538,COWN,2021,40.0
1464343,ATLC,2021,40.0
822818,CLH,2021,20.0
1121484,OIS,2021,10.0
1692115,SWX,2021,55.0
1821393,AAN,2021,25.0
742278,RES,2021,10.0
57725,LCI,2021,35.0
1611647,FRPT,2021,30.0
1078271,EXTR,2021,45.0
30625,FLS,2021,20.0
1043277,CHRW,2021,20.0
1675149,AA,2021,15.0
799698,LADX,2021,35.0
64996,MCY,2021,40.0
1403256,SCU,2021,40.0
